NANDINA;PESO;VALOR CIF;VALOR FOB;GRAVAMEN
3917400000;1382459;8006160;7593288;1449412
3604100000;1381175;2918925;2204954;1510749
6802930000;1377984;632331;508955;306834
3920201000;1373501;3043000;2862668;183960
4911100000;1369327;8431869;7904905;1138813
1702909000;1368834;919433;767763;377401
8411820000;1364669;69387758;67715818;0
5407520000;1360244;2565586;2457703;1774392
8474209000;1360093;7600174;7001704;2468500
7326200090;1358565;2743924;2552520;1222823
6404190000;1356935;16552631;16004435;13066453
2929101000;1355273;4241335;4088992;1468574
2915121000;1345268;373283;262310;259805
4804210000;1343731;962976;823903;9009
8452290000;1340524;3245909;3026906;0
2202990010;1335506;2552596;2368432;1776611
8479894000;1334957;3123281;2878899;0
2523900000;1333875;223131;178227;155300
1601000000;1328570;1579396;1541176;71625
8302420000;1306957;2919402;2671072;1684453
3904210000;1299700;1879883;1745953;142973
8431439000;1299489;18327567;17411617;9233970
2208904900;1297571;3375398;3211153;0
8701950000;1283373;8540179;8298591;0
8703239019;1279134;13648951;13164858;9225979
2204210000;1270899;2859341;2684276;1751269
8415811000;1270491;5559570;5250993;5804190
7210500000;1268957;1114292;995453;203401
4410120000;1264090;635118;524541;63592
3215190000;1261761;6257820;5916912;1696310
8518290000;1258720;2924346;2642133;1800209
4811909000;1256299;2222934;2033781;770115
3816000000;1255171;1335344;1154241;673244
8504409000;1254611;17757276;17100560;5916365
7210690000;1247672;880779;782423;306512
3923109000;1244821;4458503;3972086;996432
3917219000;1241218;4014725;3388020;2296059
8301409000;1230629;8127900;7872001;1854262
8309900000;1226493;8138604;7638931;5669771
3907910000;1224770;2065680;1914139;171208
804400000;1207135;162976;152249;170161
8432310000;1207085;7661803;7339810;0
8708299000;1207080;4476663;4020107;2664197
3207401000;1206081;963495;840882;383060
6811820000;1203115;483635;406595;229705
8467290000;1200204;5273792;5056422;3066520
8708292000;1194194;3507590;3128785;2367378
8708502100;1192264;1596393;1481938;1105402
8509409000;1192263;4839882;4581222;2914361
8716900000;1188078;2207820;2045877;600225
3809930000;1177764;1757244;1614007;236484
2507001000;1169567;590573;473709;378347
8716801000;1160145;1325350;1192959;814795
4804190000;1148742;953884;816414;282087
9505100000;1145640;2483329;2146848;1728525
3808919900;1136314;9463845;9164696;4461335
3907699000;1134291;1271235;1154781;0
8481801000;1132408;7310947;6978546;3121495
3926100000;1131857;2276396;2052511;1311282
8418211000;1130167;3178749;2791586;1047358
1604131000;1119929;1123032;999313;590059
2808001000;1119539;501808;398446;174553
2833296000;1118461;934182;786439;172933
2922421000;1110636;1286433;1162895;229975
3920610000;1108720;3514047;3243171;1656048
7212200000;1106238;571068;479351;192454
4015199000;1102878;3235479;2983362;2119428
8518210000;1102542;2969042;2692201;2066656
4011109000;1097555;3617454;3454429;977467
4810131900;1094513;925418;802571;644091
9403900000;1091530;3515919;3234992;2043057
3909109000;1089643;598588;502406;9387
7118900000;1086071;6099864;5879516;0
4403980000;1080000;157653;76129;0
4202121000;1079000;1899644;1729583;4980576
404101000;1073376;1177913;1041336;179826
1103110000;1067301;464253;383919;25186
2827200000;1064171;510903;385435;175497
9607200000;1062176;1054172;921898;269336
7323991000;1061213;1640269;1516658;1494115
2905122000;1059761;1342918;1173333;445551
7216400000;1057083;716157;659260;164694
3102109000;1055668;490673;407429;0
9404290000;1054625;5345781;4889513;801342
9401300000;1048407;2663685;2329212;4988163
8607990000;1046998;4286721;4078434;152504
2905110000;1039798;625494;443944;16293
8708100000;1037681;4155852;3633531;2797094
3903190000;1037167;1560566;1454573;48636
7211199000;1033987;586998;519204;95727
6006220000;1029998;7116920;6934274;883659
8474202000;1029938;6133810;5773784;2084240
3923309900;1028841;3958019;3578808;653219
8215200000;1026902;2736851;2658710;1167562
4011800020;1026301;5576972;5317238;3748393
6907300090;1020052;304976;207302;285827
2809201000;1018811;1019148;888332;110981
3302109000;1016031;10447337;10032407;2562685
9607190000;1003707;1244678;1108219;273772
4011700010;1001225;3525278;3211520;807067
8516100000;999732;5493295;5304051;1042219
2835310000;999538;770842;714480;259390
9609100000;994945;6682091;6495168;1628055
8417802000;990595;7196622;6721702;0
8704100030;989162;8080309;7715077;0
2104101000;985559;2269410;2102304;164158
3917399000;982428;2879434;2645036;815285
3103110000;979260;312906;273280;0
3920490000;973495;2653963;2442648;1093182
3808911400;971038;2659228;2556663;2965
3802901000;967456;572622;513172;6643
8527190000;966476;1939132;1807621;1349861
3919909000;965613;3683945;3426465;1602657
2005200090;965421;4004922;3435710;1165879
9619009010;964175;2893778;2700107;65013
8432909000;963574;3481274;3328702;572780
7216310000;962085;615063;555211;202998
3824997000;954316;3640543;3486338;1153943
8477100000;954167;5555706;5259529;0
7302400000;953297;1536807;1423435;306937
3926400000;949983;1705239;1516237;1028349
3910009000;949051;3693505;3481737;2210000
1702301000;947579;677052;485209;216810
8302109000;943036;1766765;1644919;979919
9403300000;941723;1444705;1349303;1241040
1806310000;940228;1887101;1714841;1147027
2512000000;940185;625856;512489;14155
2849100000;936743;812477;696461;126661
3921199000;936144;2601914;2221507;1512578
8544422000;933681;4440993;4141365;3014640
7615102000;932634;5502580;5252225;1734100
2922509000;931970;1739539;1621149;292008
8479100000;931489;12413426;12003206;3849994
4202220000;930384;4688550;4379285;11135576
2309901000;929319;1137983;1046300;150824
9608200000;925734;4663610;4491190;1145206
2103200000;917648;1320753;1217201;421613
8513109000;916976;2044491;1906203;1421634
2804400000;914078;232332;151160;13779
7307190000;913133;4009799;3885805;354400
5705000000;912378;1377139;1181501;857679
8703221000;902841;7819786;7661762;5417801
8424490000;899002;11268690;10913502;0
7013280000;895035;1117229;1018331;873878
2828901100;889534;278538;233632;0
8705100030;874781;3881671;3624177;1350823
7216320000;870718;735203;668304;114518
8516500000;869772;2812497;2646623;2855793
8544609000;867610;4079128;3879302;1670768
5512990000;867270;1521106;1449805;1058720
9401710000;866257;2690754;2333261;3591331
7320100000;861893;1554843;1463211;355546
6806900000;859227;1162982;941485;696941
9401790000;855540;2176032;1927182;4209448
2103909000;853508;1702956;1550393;555927
1204009000;852757;328549;307589;28212
4410190000;839887;527138;468048;36298
601100000;835480;942912;838463;277277
7606911000;834082;1006120;905052;336319
3909400000;825880;1306164;1197339;185874
7208512000;825576;496661;475058;11949
706100000;825525;43049;40208;29993
4823909000;825455;1205836;1037092;385288
7318160000;823531;1864790;1729734;1050161
2208702000;815721;2014511;1938491;1964853
8414409000;809253;2896011;2646211;1007593
1001190000;807500;178595;161916;235
1702902000;804476;537432;458566;85500
8431410000;804455;2158193;1992501;607899
4805919000;803485;806455;732599;38056
8481809900;803085;12061389;11506873;5354323
2208300000;801146;5632262;5485685;15593046
7007110000;798339;1431880;1279339;979598
4810220000;797281;671440;588409;361896
3809910000;791943;1244853;1164683;147768
4417009000;791385;421607;333147;248047
4412390000;789202;483940;411719;67689
3506990000;787668;1594912;1473478;489319
2530900000;779044;544975;454042;37057
8422309000;776243;27066432;26331133;0
6006340000;775894;1578911;1511669;2025601
9608100000;770652;3103908;2920434;1499658
7211140000;770460;452578;409499;144678
8705400030;770262;3921625;3590600;1243153
8482100000;768394;7543342;7278081;2459753
4011900000;767788;1736010;1610988;500518
8426200000;766744;2436196;2170629;847795
4811419000;759742;2452773;2312514;763614
1207509000;758896;870271;729495;605710
5810920000;755657;1351317;1239952;1880780
8438101000;754209;11569321;11056639;3217232
5501309000;753841;1974788;1950446;14
7612909000;753263;4374531;3548658;2734913
4819309000;752299;774489;723857;42678
8418213000;752183;2744729;2489989;445804
3204170000;747895;2938128;2787691;1360004
1104120000;745895;535757;485166;187823
3207409000;745259;766822;688123;430325
904211000;745168;397288;371531;390886
1602500000;744597;1016997;989252;13452
8467210000;742044;3288780;3143524;2095690
6902209000;741835;844685;736955;126693
9018312000;741511;2518279;2085734;1419841
7310100000;740634;1984352;1824481;939399
3402901000;738230;501831;400976;322635
8414802100;736582;2539459;2369586;545173
