productos;kilos;valor
PLACAS,LAMINAS,HOJAS,CINTAS,TIRAS Y DEMAS FORMAS PLANAS AUTOADHESIVAS DE PLASTICO,EN ROLLOS DE ANCHURA ENFERIOR O IGUAL A 20 cm;2131526;17508135
LOS DEMAS SACOS DE VIAJE Y MOCHILAS,DE CUERO NATURAL,REGENERADO,CHAROLADO,HOJAS DE PLASTICO,MATERIA TEXTIL,FIBRA VULCANIZADA O CARTON;2081471;30753937
LOS DEMAS,ALAMBRE DE HIERRO O ACERO SIN ALEAR;2074036;12081347
MAQUINAS Y APARATOS PARA ACONDICIONAMIENTO DE AIRE,DE PARED O PARA VENTANAS,FORMANDO UN SOLO CUERPO,CON EQUIPO DE ENFRIAMIENTO INFERIOR O IGUAL A 30000 BTU/HORA;2021411;55822591
LOS DEMAS APARATOS ELECTROTERMICOS;1977954;25793090
LAS DEMAS PLACAS,LAMINAS,HOJAS Y TIRAS DE PL-STICOS;1971354;20014041
LAS DEMAS PLACAS Y BALDOSAS, PARA PAVIMENTACION O REVESTIMIENTO, EXCEPTO LAS DE LAS SUBPARTIDAS 6907.30 Y 6907.40, CON UN COEFICIENTE DE ABSORCION DE AGUA SUPERIOR AL 10% EN PESO;1971187;3446655
LOS DEMAS PRODUCTOS LAMINADOS DE HIERRO O ACERO SIN ALEAR,SIN ENRROLLAR,SIMPLEMENTE LAMINADOS EN CALIENTE,DE ESPESOR INFERIOR A 3 mm;1957253;7170298
LAS DEMAS PARTES Y ACCESORIOS DE MOTOCICLETAS (INCLUIDOS LOS CICLOMOTORES);1938905;26273729
LOS DEMAS VEHICULOS AUTOMOVILES PARA TRANSPORTE DE MERCANCIAS, CON MOTOR DE EMBOLO DE ENCENDIDO POR CHISPA, DE PESO TOTAL CON CARGA INFERIOR O IGUAL A 6,2 T;1937443;46828727
LAS DEMAS LAMPARAS Y TUBOS DE INCANDESCENCIA EXCEPTO LAS DE RAYOS ULTRAVIOLETAS O INFRARROJOS,DE POTENCIA INFERIOR O IGUAL A 200 W Y PARA UNA TENSION SUPERIOR A 100 V;1932982;19556667
LAS DEMAS MAQUINAS DE SONDEO O PERFORACION;1879072;48997996
COMPACTADORAS Y APISONADORAS (APLANADORAS),AUTOPROPULSADAS;1875502;67998318
LAS DEMAS LAMPARAS Y DEMAS APARATOS ELECTRICOS DE ALUMBRADO PARA COLGAR O FIJAR AL TECHO O LA PARED,EXCEPTO LOS DEL TIPO DE LOS UTILIZADOS PARA EL ALUMBRADO DE ESPACIOS O VIAS PUBLICAS;1827992;39002073
LOS DEMAS TUBOS DE LOS TIPOS UTILIZADOS EN OLEODUCTOS O GASODUCTOS,;1824949;18144146
LOS DEMAS HORNOS INDUSTRIALES O DE LABORATORIO, INCLUIDOS LOS INCINERADORES, QUE NO SEAN ELECTRICOS;1819457;73179931
REVESTIMIENTOS PARA SUELOS,DE POLIMEROS DE CLORURO DE VINILO;1813820;7816244
SULFATO DE AMONIO;1808958;3036412
LOS DEMAS CHAPAS,BARRAS,PERFILES,TUBOS Y SIMILARES,PREPARADOS PARA LA CONSTRUCCION DE FUNDICION,HIERRO O ACERO;1797615;19217031
LOS DEMAS FOSFATOS DE CALCIO;1788710;7874392
LOS DEMAS VIDRIOS DE ESPESOR INFERIOR O IGUAL A 6MM, COLOREADOS EN LA MASA, OPACIFICADOS, CHAPADOS O SIMPLEMENTE DESBASTADOS, SIN ARMAR;1778981;4294663
LOS DEMAS ARTICULOS Y MATERIAL PARA CULTURA FISICA,GIMNASIA O ATLETISMO;1762817;25355153
LAS DEMAS MANUFACTURAS DE HIERRO O ACERO;1731651;24015562
LAS DEMAS CONSTRUCCIONES Y SUS PARTES DE FUNDICION,HIERRO O ACERO,PREPARADOS PARA LA CONSTRUCCION;1723405;26074850
CALZADO CON LA PARTE SUPERIOR DE TIRAS O BRIDAS FIJAS A SUELA POR TETONES (ESPIGAS);1708007;20993082
LOS DEMAS  FUNGICIDAS PRESENTADOS EN FORMAS O  EN ENVASES PARA LA VENTA AL POR MENOR O EN ARTICULOS QUE CONTENGAN GROMOMETANO (BROMURO DE METILO) O BROMOCLOROMETANO;1685624;64937596
ARTICULOS PARA EL SERVICIO DE MESA O DE COCINA DE PORCELANA;1685140;13058171
LOS DEMAS TEJIDOS DE ALGODON TE?IDOS (85% O MAS DE ALGODON),DE GRAMAJE SUPERIOR A 200g/m2;1668331;16907975
MAQUINAS CUYA SEPERESTRUCTURA PUEDA GIRAR 360 GRADOS,AUTOPROPULSADAS;1666990;98900568
LICUADORAS,CON MOTOR ELECTRICO INCORPORADO,DE USO DOMESTICO;1658940;20708587
TUBOS Y PERFILES HUECOS,DE FUNDICION;1657620;11714827
LAS DEMAS PREPARACIONES Y CONSERVAS DE PESCADO;1631293;11316425
LAS DEMAS TURBINAS DE VAPOR DE POTENCIA SUPERIOR A 40 MW+;1630895;104761290
TABLEROS DE FIBRA DE DENSIDAD MEDIA (LLAMADOS®MDF¯)   DE ESPESOR SUPERIOR A 9 MM;1621266;6484057
LOS DEMAS SULFITOS;1592024;4561936
COMBINACIONES DE REFRIGERADOR Y CONGELADOR CON PUERTAS EXTERIORES SEPARADAS, DE VOLUMEN SUPERIOR O IGUAL A 184 L PERO INFERIOR A 269 L;1569210;30806192
PLACAS Y BALDOSAS, PARA PAVIMENTACION O REVESTIMIENTO, EXCEPTO LAS DE LAS SUBPARTIDAS 6907.30 Y 6907.40, CON UN COEFICIENTE DE ABSORCION DE AGUA SUPERIOR AL 10% EN PESO, SIN ESMALTAR NI BARNIZAR, EN L;1542149;2640001
BALONES Y PELOTAS INFLABLES;1537265;20961417
NEUMATICOS (LLANTAS NEUMATICAS) NUEVOS DE CAUCHO,DEL TIPO DE LOS UTILIZADOS EN MOTOCICLETAS;1533537;19299829
LOS DEMAS ARTICULOS PARA FIESTAS,CARNAVAL U OTRAS DIVERSIONES,INCLUIDOS LOS DE MAGIA Y ARTICULOS SORPRESA;1532337;14837581
